canonical_precinct_id,universe_name,universe_reason,key_metrics_snapshot
0710050,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 30, ""turnout_pct"": 0.7, ""support_pct"": 0.952}"
0710051,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 13, ""turnout_pct"": 0.846, ""support_pct"": 0.545}"
0710052,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 191, ""turnout_pct"": 0.733, ""support_pct"": 0.607}"
0710053,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0711001,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2085, ""turnout_pct"": 0.648, ""support_pct"": 0.762}"
0711002,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1292, ""turnout_pct"": 0.708, ""support_pct"": 0.822}"
0711003,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2581, ""turnout_pct"": 0.661, ""support_pct"": 0.794}"
0711004,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 863, ""turnout_pct"": 0.681, ""support_pct"": 0.772}"
0711005,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 3483, ""turnout_pct"": 0.722, ""support_pct"": 0.753}"
0711006,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1972, ""turnout_pct"": 0.686, ""support_pct"": 0.744}"
0711007,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1998, ""turnout_pct"": 0.659, ""support_pct"": 0.746}"
0711008,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 883, ""turnout_pct"": 0.734, ""support_pct"": 0.691}"
0711009,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2555, ""turnout_pct"": 0.631, ""support_pct"": 0.732}"
0711010,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2759, ""turnout_pct"": 0.617, ""support_pct"": 0.766}"
0711011,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 4055, ""turnout_pct"": 0.712, ""support_pct"": 0.711}"
0711012,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 2238, ""turnout_pct"": 0.876, ""support_pct"": 0.785}"
0711013,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 2821, ""turnout_pct"": 0.826, ""support_pct"": 0.778}"
0711014,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2686, ""turnout_pct"": 0.711, ""support_pct"": 0.77}"
0711015,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 669, ""turnout_pct"": 0.737, ""support_pct"": 0.708}"
0711016,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 717, ""turnout_pct"": 0.6, ""support_pct"": 0.788}"
0711017,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1593, ""turnout_pct"": 0.696, ""support_pct"": 0.731}"
0711018,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 620, ""turnout_pct"": 0.744, ""support_pct"": 0.681}"
