canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0718003,REGION_04,4,Region 04,41,0,0.0
0718004,REGION_02,2,Region 02,64,0,0.0
0718005,REGION_04,4,Region 04,41,0,0.0
0718006,REGION_09,9,Region 09,61,0,0.0
0720001,REGION_07,7,Region 07,41,0,0.0
0720002,REGION_02,2,Region 02,64,0,0.0
0720003,REGION_10,10,Region 10,47,0,0.0
0720004,REGION_09,9,Region 09,61,0,0.0
0720005,REGION_07,7,Region 07,41,0,0.0
0720006,REGION_08,8,Region 08,26,0,0.0
0720007,REGION_08,8,Region 08,26,0,0.0
0720008,REGION_08,8,Region 08,26,0,0.0
0720009,REGION_03,3,Region 03,35,0,0.0
0720010,REGION_07,7,Region 07,41,0,0.0
0720011,REGION_07,7,Region 07,41,0,0.0
0720012,REGION_07,7,Region 07,41,0,0.0
0720013,REGION_02,2,Region 02,64,0,0.0
0720014,REGION_07,7,Region 07,41,0,0.0
0720015,REGION_06,6,Region 06,26,0,0.0
0720016,REGION_06,6,Region 06,26,0,0.0
0720017,REGION_02,2,Region 02,64,0,0.0
0720018,REGION_02,2,Region 02,64,0,0.0
0720019,REGION_02,2,Region 02,64,0,0.0
0720020,REGION_08,8,Region 08,26,0,0.0
0720021,REGION_06,6,Region 06,26,0,0.0
0720022,REGION_07,7,Region 07,41,0,0.0
0720023,REGION_10,10,Region 10,47,0,0.0
0720024,REGION_02,2,Region 02,64,0,0.0
0720025,REGION_08,8,Region 08,26,0,0.0
0720026,REGION_06,6,Region 06,26,0,0.0
0720027,REGION_06,6,Region 06,26,0,0.0
0720028,REGION_01,1,Region 01,25,0,0.0
0720029,REGION_08,8,Region 08,26,0,0.0
0720030,REGION_06,6,Region 06,26,0,0.0
0723001,REGION_09,9,Region 09,61,0,0.0
0723002,REGION_10,10,Region 10,47,0,0.0
0723003,REGION_07,7,Region 07,41,0,0.0
0725001,REGION_09,9,Region 09,61,0,0.0
0725002,REGION_02,2,Region 02,64,0,0.0
0725003,REGION_02,2,Region 02,64,0,0.0
0725004,REGION_02,2,Region 02,64,0,0.0
0725005,REGION_10,10,Region 10,47,0,0.0
0725006,REGION_10,10,Region 10,47,0,0.0
0725007,REGION_02,2,Region 02,64,0,0.0
0725008,REGION_02,2,Region 02,64,0,0.0
0725009,REGION_10,10,Region 10,47,0,0.0
0725010,REGION_10,10,Region 10,47,0,0.0
0725011,REGION_04,4,Region 04,41,0,0.0
0725012,REGION_09,9,Region 09,61,0,0.0
0725013,REGION_04,4,Region 04,41,0,0.0
0725014,REGION_04,4,Region 04,41,0,0.0
0725015,REGION_04,4,Region 04,41,0,0.0
