canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0749008,REGION_02,3,Region 02,45,68982,0.3312
0749009,REGION_07,4,Region 07,81,64265,0.1452
0750001,REGION_10,1,Region 10,99,101232,0.2116
0750002,REGION_02,3,Region 02,45,68982,0.3312
0750003,REGION_05,2,Region 05,71,80979,0.2618
0750004,REGION_07,4,Region 07,81,64265,0.1452
0750005,REGION_10,1,Region 10,99,101232,0.2116
0750006,REGION_05,2,Region 05,71,80979,0.2618
0750007,REGION_10,1,Region 10,99,101232,0.2116
0750008,REGION_10,1,Region 10,99,101232,0.2116
0750009,REGION_01,7,Region 01,13,652,0.0135
0750010,REGION_10,1,Region 10,99,101232,0.2116
0750011,REGION_05,2,Region 05,71,80979,0.2618
0750012,REGION_02,3,Region 02,45,68982,0.3312
0750013,REGION_05,2,Region 05,71,80979,0.2618
0750014,REGION_10,1,Region 10,99,101232,0.2116
0750015,REGION_05,2,Region 05,71,80979,0.2618
0750016,REGION_07,4,Region 07,81,64265,0.1452
0750017,REGION_05,2,Region 05,71,80979,0.2618
0750018,REGION_05,2,Region 05,71,80979,0.2618
0750019,REGION_05,2,Region 05,71,80979,0.2618
0750020,REGION_05,2,Region 05,71,80979,0.2618
0750021,REGION_05,2,Region 05,71,80979,0.2618
0750022,REGION_05,2,Region 05,71,80979,0.2618
0750023,REGION_01,7,Region 01,13,652,0.0135
0750024,REGION_05,2,Region 05,71,80979,0.2618
0750025,REGION_10,1,Region 10,99,101232,0.2116
0750026,REGION_10,1,Region 10,99,101232,0.2116
0750027,REGION_05,2,Region 05,71,80979,0.2618
0750028,REGION_05,2,Region 05,71,80979,0.2618
0750029,REGION_10,1,Region 10,99,101232,0.2116
0750030,REGION_10,1,Region 10,99,101232,0.2116
0750031,REGION_05,2,Region 05,71,80979,0.2618
0750032,REGION_05,2,Region 05,71,80979,0.2618
0750033,REGION_05,2,Region 05,71,80979,0.2618
0750034,REGION_10,1,Region 10,99,101232,0.2116
0750035,REGION_05,2,Region 05,71,80979,0.2618
0750036,REGION_10,1,Region 10,99,101232,0.2116
0750037,REGION_05,2,Region 05,71,80979,0.2618
0750038,REGION_05,2,Region 05,71,80979,0.2618
0750039,REGION_05,2,Region 05,71,80979,0.2618
0750040,REGION_05,2,Region 05,71,80979,0.2618
0750041,REGION_04,5,Region 04,16,3377,0.0483
0750042,REGION_07,4,Region 07,81,64265,0.1452
0750043,REGION_05,2,Region 05,71,80979,0.2618
0750044,REGION_10,1,Region 10,99,101232,0.2116
0750045,REGION_06,6,Region 06,19,1459,0.0101
0750046,REGION_07,4,Region 07,81,64265,0.1452
0750047,REGION_05,2,Region 05,71,80979,0.2618
0750048,REGION_10,1,Region 10,99,101232,0.2116
0750049,REGION_07,4,Region 07,81,64265,0.1452
0750050,REGION_05,2,Region 05,71,80979,0.2618
0750051,REGION_10,1,Region 10,99,101232,0.2116
0750052,REGION_10,1,Region 10,99,101232,0.2116
0750053,REGION_02,3,Region 02,45,68982,0.3312
0750054,REGION_07,4,Region 07,81,64265,0.1452
0750055,REGION_07,4,Region 07,81,64265,0.1452
0751001,REGION_02,3,Region 02,45,68982,0.3312
0751002,REGION_02,3,Region 02,45,68982,0.3312
0751003,REGION_02,3,Region 02,45,68982,0.3312
0751004,REGION_02,3,Region 02,45,68982,0.3312
0751005,REGION_10,1,Region 10,99,101232,0.2116
0751006,REGION_02,3,Region 02,45,68982,0.3312
0751007,REGION_10,1,Region 10,99,101232,0.2116
0751008,REGION_10,1,Region 10,99,101232,0.2116
0751009,REGION_10,1,Region 10,99,101232,0.2116
0751010,REGION_02,3,Region 02,45,68982,0.3312
0757001,REGION_05,2,Region 05,71,80979,0.2618
0757002,REGION_05,2,Region 05,71,80979,0.2618
