"county","srprec","city","n_in_city","n"
"49","0250051","PETALUMA","2128","2128"
"49","0725014","PETALUMA","2670","2670"
"49","0250065","PETALUMA","211","211"
"49","0726001","ROHNERT PARK","1930","1930"
"49","0726004","ROHNERT PARK","1096","1096"
"49","0726002","ROHNERT PARK","1897","1897"
"49","0726006","ROHNERT PARK","23","23"
"49","0726003","ROHNERT PARK","1386","1386"
"49","0726005","ROHNERT PARK","622","622"
"49","0730001","SANTA ROSA","1439","1439"
"49","0300003","SANTA ROSA","52","52"
"49","0300004","SANTA ROSA","78","78"
"49","0300005","SANTA ROSA","102","102"
"49","0300007","SANTA ROSA","9","9"
"49","0730002","SANTA ROSA","368","368"
"49","0730003","SANTA ROSA","1386","1386"
"49","0730005","SANTA ROSA","116","116"
"49","0730004","SANTA ROSA","458","458"
"49","0300019","ROHNERT PARK","144","145"
"49","0300020","SANTA ROSA","112","112"
"49","0300025","SANTA ROSA","33","33"
"49","0731001","SANTA ROSA","1261","1261"
"49","0731002","SANTA ROSA","1229","1229"
"49","0731003","SANTA ROSA","1899","1899"
"49","0310004","SANTA ROSA","2077","2077"
"49","0731004","SANTA ROSA","1181","1181"
"49","0310009","SANTA ROSA","1837","1837"
"49","0731005","SANTA ROSA","857","857"
"49","0310016","SANTA ROSA","798","798"
"49","0731007","SANTA ROSA","1692","1692"
"49","0310022","SANTA ROSA","653","653"
"49","0310023","SANTA ROSA","616","616"
"49","0310024","SANTA ROSA","92","92"
"49","0310025","SANTA ROSA","35","35"
"49","0731008","SANTA ROSA","1502","1503"
"49","0731011","SANTA ROSA","1923","1923"
"49","0731009","SANTA ROSA","967","967"
"49","0731010","SANTA ROSA","1002","1002"
"49","0731014","SANTA ROSA","176","176"
"49","0731015","SANTA ROSA","953","953"
"49","0731016","SANTA ROSA","1839","1839"
"49","0731012","SANTA ROSA","1749","1749"
"49","0731013","SANTA ROSA","1387","1387"
"49","0310052","SANTA ROSA","548","548"
"49","0731006","SANTA ROSA","1950","1950"
"49","0736001","ROHNERT PARK","1378","1378"
"49","0736003","ROHNERT PARK","2600","2600"
"49","0736002","ROHNERT PARK","1878","1878"
"49","0736005","ROHNERT PARK","2227","2227"
"49","0736004","ROHNERT PARK","1917","1917"
"49","0736008","ROHNERT PARK","1178","1178"
"49","0736009","ROHNERT PARK","1763","1763"
"49","0736006","ROHNERT PARK","1652","1652"
"49","0360010","ROHNERT PARK","459","459"
"49","0736010","ROHNERT PARK","670","670"
"49","0360020","ROHNERT PARK","996","996"
"49","0736007","ROHNERT PARK","1974","1974"
"49","0736011","ROHNERT PARK","1549","1549"
"49","0400001","SANTA ROSA","3","3"
"49","0740019","SANTA ROSA","14","14"
"49","0400003","SANTA ROSA","8","8"
"49","0400005","SANTA ROSA","27","27"
"49","0740020","SANTA ROSA","37","37"
"49","0400008","SANTA ROSA","41","41"
"49","0400010","SANTA ROSA","39","39"
"49","0400011","SANTA ROSA","17","17"
"49","0740001","GEYSERVILLE","32","38"
"49","0740025","HEALDSBURG","296","475"
"49","0740008","CALISTOGA","150","250"
"49","0740021","SANTA ROSA","19","22"
"49","0740022","WINDSOR","150","253"
"49","0740006","GEYSERVILLE","378","378"
"49","0740007","GEYSERVILLE","443","603"
"49","0740004","GEYSERVILLE","91","97"
"49","0740002","CLOVERDALE","1259","1259"
"49","0740003","CLOVERDALE","26","26"
"49","0740005","CLOVERDALE","19","26"
"49","0740009","SANTA ROSA","869","1094"
"49","0740010","SANTA ROSA","126","292"
"49","0740026","HEALDSBURG","47","51"
"49","0400071","HEALDSBURG","2","2"
"49","0400076","CLOVERDALE","3","3"
"49","0740011","SANTA ROSA","1903","1903"
"49","0740027","HEALDSBURG","616","623"
"49","0740028","HEALDSBURG","589","589"
"49","0740023","WINDSOR","622","764"
"49","0740029","HEALDSBURG","667","674"
"49","0740030","HEALDSBURG","29","29"
"49","0740031","HEALDSBURG","460","460"
"49","0740012","HEALDSBURG","12","19"
"49","0400109","HEALDSBURG","79","79"
"49","0400111","HEALDSBURG","74","107"
"49","0740032","WINDSOR","24","25"
"49","0400116","WINDSOR","1","1"
"49","0400117","WINDSOR","2","2"
"49","0400118","WINDSOR","27","27"
"49","0740013","SANTA ROSA","7","8"
"49","0400124","HEALDSBURG","50","50"
"49","0740014","SANTA ROSA","1614","1614"
"49","0740015","SANTA ROSA","13","13"
"49","0740016","SANTA ROSA","23","23"
"49","0740017","SANTA ROSA","1300","1300"
"49","0740024","SANTA ROSA","173","209"
"49","0740018","SANTA ROSA","497","497"
"49","0400169","HEALDSBURG","160","160"
"49","0741001","SANTA ROSA","708","708"
"49","0741002","SANTA ROSA","861","861"
"49","0741003","SANTA ROSA","1211","1211"
"49","0741008","SANTA ROSA","2065","2065"
"49","0741010","SANTA ROSA","1357","1357"
"49","0410007","SANTA ROSA","2271","2271"
"49","0410008","SANTA ROSA","73","73"
"49","0741011","SANTA ROSA","1122","1122"
"49","0741012","SANTA ROSA","566","566"
"49","0741004","SANTA ROSA","1717","1717"
"49","0741005","SANTA ROSA","1820","1820"
"49","0741006","SANTA ROSA","463","463"
"49","0410017","SANTA ROSA","111","111"
"49","0741007","SANTA ROSA","139","139"
"49","0741009","SANTA ROSA","1363","1363"
"49","0410051","SANTA ROSA","903","903"
"49","0420001","CLOVERDALE","2216","2216"
"49","0420002","CLOVERDALE","1229","1229"
"49","0742001","CLOVERDALE","1974","1974"
"49","0440001","HEALDSBURG","2037","2037"
"49","0440002","HEALDSBURG","2051","2051"
"49","0744001","HEALDSBURG","1742","1742"
"49","0440005","HEALDSBURG","1585","1585"
"49","0749001","WINDSOR","2241","2241"
"49","0749009","WINDSOR","1957","1957"
"49","0749007","WINDSOR","2049","2049"
"49","0749010","WINDSOR","159","159"
"49","0749004","WINDSOR","2112","2112"
"49","0749006","WINDSOR","1419","1419"
"49","0749013","WINDSOR","889","1149"
"49","0749005","WINDSOR","544","544"
"49","0749002","WINDSOR","597","607"
"49","0749008","WINDSOR","772","772"
"49","0749011","WINDSOR","2010","2040"
"49","0749012","WINDSOR","815","815"
"49","0749003","WINDSOR","1087","1087"
"49","0490049","WINDSOR","130","130"
"49","0750033","SEBASTOPOL","1465","1465"
"49","0750035","SANTA ROSA","807","807"
"49","0500009","SANTA ROSA","2","2"
"49","0500010","SANTA ROSA","11","11"
"49","0750001","FORESTVILLE","788","818"
"49","0750032","WINDSOR","21","33"
"49","0750038","SANTA ROSA","1476","1652"
"49","0500022","FULTON","249","283"
"49","0500024","SANTA ROSA","4","4"
"49","0500025","SANTA ROSA","124","124"
"49","0500026","SANTA ROSA","10","10"
"49","0500027","SANTA ROSA","89","89"
"49","0500028","SANTA ROSA","35","35"
"49","0750039","SANTA ROSA","1058","1058"
